_id,Titulo,Autor,Editora
2, Psicanálise e Revolução,Ian Parker,Editora Autentica
1,Psicologia dos Sonhos 2023,Sigmund Freud,Editora Principium
3, Psicologia e as Psicologias,Ana Merces Bock,Editora Saraiva
4,O Cerebro de Luto,Mari Frances O'Connor, Editora Principium
5,Terapia Familiar Conceitos e Metodos,Michel P. Nichols, Editora Artmed
6,Vocabularios da Psicanalise, Martins Fortes, Editora Pontalis
8," Snify, O Rato Virutal",Tom Alloway,Edição Norte Americana
9,Principios Basicos da Analise do Comportamento,Marcio Borges Moreira,Editora Artmed
