_id,Titulo,Autor,Editora
2,Medicina do Amanha,Pedro Schetstschi, Gente Editora
3,Medicina de Bolso,Marc C. Sabatine, Editora Blucher
4,As Leis da Medicina,Siddharta Mukher,Ted Editora
5,A Medicina da Imortalidade,Ray Kurzweill,Govo Editora
6,Medicina-Diagnóstico e Tratamento,Andre Garcia Islabão,Mc Graw Hill Editora
7, Guia Prático da Medicina Chinesa,Ana Clelia Mattos,Alfabeto Editora
8,Medicina Centrada na Pessoa,Moira Stewart,Artmed Editora
9,Medicina Ambulatorial,Bruce B Duncan,Artmed Editora
